"Month","League","Year","Player"
"Jan","QMJHL","1999",32
"Feb","QMJHL","1999",17
"Mar","QMJHL","1999",20
"Apr","QMJHL","1999",27
"May","QMJHL","1999",25
"Jun","QMJHL","1999",12
"Jul","QMJHL","1999",21
"Aug","QMJHL","1999",7
"Sep","QMJHL","1999",9
"Oct","QMJHL","1999",7
"Nov","QMJHL","1999",7
"Dec","QMJHL","1999",3
